ID,YEAR,TITLE,LANGUAGE,AUTHORS
313,2008-07-02,Children of the Night,en,"Robinson, Edwin Arlington, 1869-1935"
314,1995-08-01,"Guide to Life and Literature of the Southwest, with a Few Observations",en,"Dobie, J. Frank (James Frank), 1888-1964"
315,1995-08-01,Rhymes of a Red Cross Man,en,"Service, Robert W. (Robert William), 1874-1958"
316,2008-07-05,The Golden Road,en,"Montgomery, L. M. (Lucy Maud), 1874-1942"
317,1995-08-01,"The Culprit Fay, and Other Poems",en,"Drake, Joseph Rodman, 1795-1820"
318,1995-08-01,John Barleycorn,en,"London, Jack, 1876-1916"
319,1995-08-01,The Ways of Men,en,"Gregory, Eliot, 1854-1915"
320,1995-09-01,Vida De Lazarillo De Tormes Y De Sus Fortunas Y Adversidades,es,Anonymous
321,2008-07-09,Moran of the Lady Letty,en,"Norris, Frank, 1870-1902"
322,1995-09-01,St. Ives: Being the Adventures of a French Prisoner in England,en,"Stevenson, Robert Louis, 1850-1894"
323,2008-06-29,Verses 1889-1896,en,"Kipling, Rudyard, 1865-1936"
324,2008-07-09,A Knight of the Cumberland,en,"Fox, John, Jr., 1862-1919"
325,2008-07-11,Phantastes: A Faerie Romance for Men and Women,en,"MacDonald, George, 1824-1905"
326,1995-09-01,Steep Trails,en,"Muir, John, 1838-1914; Badè, William Frederic, 1871-1936 [Editor]"
327,1995-09-01,The Princess Aline,en,"Davis, Richard Harding, 1864-1916"
328,1995-09-01,A Heap o' Livin',en,"Guest, Edgar A. (Edgar Albert), 1881-1959"
329,1995-09-01,Island Nights' Entertainments,en,"Stevenson, Robert Louis, 1850-1894"
330,2006-03-15,Where There's a Will,en,"Rinehart, Mary Roberts, 1876-1958"
331,1995-09-01,The Mucker,en,"Burroughs, Edgar Rice, 1875-1950"
332,2008-07-02,The Burial of the Guns,en,"Page, Thomas Nelson, 1853-1922"
333,1995-09-01,Robert Louis Stevenson,en,"Raleigh, Walter Alexander, Sir, 1861-1922"
334,1995-09-01,Episodes in Van Bibber's Life,en,"Davis, Richard Harding, 1864-1916"
335,1995-09-01,Frances Waldeaux: A Novel,en,"Davis, Rebecca Harding, 1831-1910"
336,2008-07-05,Indian Heroes and Great Chieftains,en,"Eastman, Charles A., 1858-1939"
337,2008-07-05,Indian Boyhood,en,"Eastman, Charles A., 1858-1939"
338,2008-07-05,Old Indian Legends,en,"Zitkala-Sa, 1876-1938"
339,2008-07-05,Old Indian Days,en,"Eastman, Charles A., 1858-1939"
340,2008-07-05,The Soul of the Indian: An Interpretation,en,"Eastman, Charles A., 1858-1939"
341,1995-10-01,Myths and Legends of the Sioux,en,"McLaughlin, Marie L., 1842-"
342,1995-10-01,Margaret Ogilvy,en,"Barrie, J. M. (James Matthew), 1860-1937"
343,1995-10-01,Fables,en,"Stevenson, Robert Louis, 1850-1894"
344,1995-10-01,"The Merry Men, and Other Tales and Fables",en,"Stevenson, Robert Louis, 1850-1894"
345,1995-10-01,Dracula,en,"Stoker, Bram, 1847-1912"
346,1995-10-01,"The Troll Garden, and Selected Stories",en,"Cather, Willa, 1873-1947"
347,2008-07-05,The Saga of Grettir the Strong: Grettir's Saga,en,Unknown
348,2008-07-05,"Hesiod, the Homeric Hymns, and Homerica",en,"Hesiod; Evelyn-White, Hugh G. (Hugh Gerard), 1884-1924 [Translator]"
349,1995-10-01,The Harvester,en,"Stratton-Porter, Gene, 1863-1924"
350,2008-07-03,Fanny Herself,en,"Ferber, Edna, 1885-1968"
351,1995-10-01,Of Human Bondage,en,"Maugham, W. Somerset (William Somerset), 1874-1965"
352,1995-11-01,Buttered Side Down: Stories,en,"Ferber, Edna, 1885-1968"
353,2008-07-05,"In Flanders Fields, and Other Poems",en,"McCrae, John, 1872-1918; Macphail, Andrew, 1864-1938 [Contributor]"
354,1995-11-01,The Story of a Pioneer,en,"Jordan, Elizabeth Garver, 1867-1947; Shaw, Anna Howard, 1847-1919"
355,1995-11-01,The Parasite: A Story,en,"Doyle, Arthur Conan, 1859-1930"
356,2008-07-02,Beyond the City,en,"Doyle, Arthur Conan, 1859-1930"
357,1995-11-01,"A Dream of John Ball; and, A King's Lesson",en,"Morris, William, 1834-1896"
358,1995-11-01,The Scarlet Car,en,"Davis, Richard Harding, 1864-1916"
359,1995-11-01,"Good Stories for Great Holidays
Arranged for Story-Telling and Reading Aloud and for the Children's Own Reading",en,"Olcott, Frances Jenkins, 1872-1963"
360,1995-11-01,What is Property? An Inquiry into the Principle of Right and of Government,en,"Proudhon, P.-J. (Pierre-Joseph), 1809-1865"
361,2008-07-11,Miss Billy — Married,en,"Porter, Eleanor H. (Eleanor Hodgman), 1868-1920"
362,2008-07-11,Miss Billy's Decision,en,"Porter, Eleanor H. (Eleanor Hodgman), 1868-1920"
363,2008-07-11,The Oakdale Affair,en,"Burroughs, Edgar Rice, 1875-1950"
364,1995-11-01,The Mad King,en,"Burroughs, Edgar Rice, 1875-1950"
365,2008-07-09,The Land of Little Rain,en,"Austin, Mary, 1868-1934"
366,2006-03-15,Bab: A Sub-Deb,en,"Rinehart, Mary Roberts, 1876-1958"
367,2008-07-11,The Country of the Pointed Firs,en,"Jewett, Sarah Orne, 1849-1909"
368,2008-06-29,Acres of Diamonds: Our Every-day Opportunities,en,"Conwell, Russell H., 1843-1925; Shackleton, Robert, 1860-1923 [Contributor]"
369,2008-07-11,The Outlaw of Torn,en,"Burroughs, Edgar Rice, 1875-1950"
370,1995-12-01,The Fortunes and Misfortunes of the Famous Moll Flanders,en,"Defoe, Daniel, 1661?-1731"
371,1995-12-01,"Literary Blunders: A Chapter in the ""History of Human Error""",en,"Wheatley, Henry B. (Henry Benjamin), 1838-1917"
372,1995-12-01,"Prince Otto, a Romance",en,"Stevenson, Robert Louis, 1850-1894"
373,1995-12-01,"Lay Morals, and Other Papers",en,"Stevenson, Robert Louis, 1850-1894; Stevenson, Fanny Van de Grift, 1840-1914 [Author of introduction, etc.]"
374,1995-12-01,Fantastic Fables,en,"Bierce, Ambrose, 1842-1914?"
375,1995-12-01,An Occurrence at Owl Creek Bridge,en,"Bierce, Ambrose, 1842-1914?"
376,2006-01-16,"A Journal of the Plague Year
Being Observations or Memorials of the Most Remarkable Occurrences, as Well Public as Private, Which Happened in London During the Last Great Visitation in 1665. Written by a Citizen Who Continued All the While in London",en,"Defoe, Daniel, 1661?-1731"
377,2008-07-09,Kansas Women in Literature,en,"Barker, Nettie Garmer"
378,1995-12-01,The White Knight: Tirant Lo Blanc,en,"Galba, Martí Joan de, -1490; Martorell, Joanot, -1468; Rudder, Robert S. [Translator]"
379,1995-12-01,Worldly Ways & Byways,en,"Gregory, Eliot, 1854-1915"
380,1995-12-01,Weir of Hermiston: An Unfinished Romance,en,"Stevenson, Robert Louis, 1850-1894"
381,1995-12-01,Memories and Portraits,en,"Stevenson, Robert Louis, 1850-1894"
382,1995-12-01,Edinburgh: Picturesque Notes,en,"Stevenson, Robert Louis, 1850-1894"
383,1995-12-01,"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy",en,"Goldsmith, Oliver, 1730?-1774"
384,1996-01-01,The Lost Prince,en,"Burnett, Frances Hodgson, 1849-1924"
385,1996-01-01,"The Redheaded Outfield, and Other Baseball Stories",en,"Grey, Zane, 1872-1939"
386,1996-01-01,"Virginibus Puerisque, and Other Papers",en,"Stevenson, Robert Louis, 1850-1894"
387,1996-01-01,"Vailima Letters
Being Correspondence Addressed by Robert Louis Stevenson to Sidney Colvin, November 1890-October 1894",en,"Stevenson, Robert Louis, 1850-1894"
388,2004-10-19,The Crossing,en,"Churchill, Winston, 1871-1947"
389,1996-01-01,The Great God Pan,en,"Machen, Arthur, 1863-1947"
390,1996-01-01,A Lute of Jade : Selections from the Classical Poets of China,en,"Cranmer-Byng, L. (Launcelot), 1872-1945"
391,1996-01-01,The Song of Roland,en,"Scott-Moncrieff, C. K. (Charles Kenneth), 1889-1930 [Translator]"
392,1996-01-01,Jerusalem Delivered,en,"Tasso, Torquato, 1544-1595; Fairfax, Edward, -1635 [Translator]"
393,1996-01-01,The Blue Lagoon: A Romance,en,"Stacpoole, H. De Vere (Henry De Vere), 1863-1951"
394,1996-01-01,Cranford,en,"Gaskell, Elizabeth Cleghorn, 1810-1865; Brock, C. E. (Charles Edmund), 1870-1938 [Illustrator]"
395,1996-01-01,"The Holy War, Made by King Shaddai Upon Diabolus, for the Regaining of the Metropolis of the World; Or, The Losing and Taking Again of the Town of Mansoul",en,"Bunyan, John, 1628-1688"
396,1996-01-01,"The Lady, or the Tiger?",en,"Stockton, Frank R., 1834-1902"
397,1996-01-01,"L'Allegro, Il Penseroso, Comus, and Lycidas",en,"Milton, John, 1608-1674"
398,1996-01-01,The First Book of Adam and Eve,en,"Platt, Rutherford Hayes, 1894-1975"
399,2006-01-16,Cast Upon the Breakers,en,"Alger, Horatio, Jr., 1832-1899"
400,1996-01-01,"Helen of Troy, and Other Poems",en,"Teasdale, Sara, 1884-1933"
401,1996-01-01,Blix,en,"Norris, Frank, 1870-1902"
402,2006-03-15,Penrod,en,"Tarkington, Booth, 1869-1946"
403,1996-01-01,Soldiers of Fortune,en,"Davis, Richard Harding, 1864-1916"
404,1996-01-01,Industrial Biography: Iron Workers and Tool Makers,en,"Smiles, Samuel, 1812-1904"
405,1996-01-01,Adventures and Letters of Richard Harding Davis,en,"Davis, Richard Harding, 1864-1916; Davis, Charles Belmont, 1866-1926 [Editor]"
406,1996-01-01,Appreciations of Richard Harding Davis,en,Various
407,1996-01-01,The Reporter Who Made Himself King,en,"Davis, Richard Harding, 1864-1916"
408,1996-01-01,The Souls of Black Folk,en,"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963"
409,1996-01-01,"Poems on various subjects, religious and moral",en,"Wheatley, Phillis, 1753-1784"
410,1996-01-01,Hell Fer Sartain and Other Stories,en,"Fox, John, Jr., 1862-1919"
411,1996-01-01,The King's Jackal,en,"Davis, Richard Harding, 1864-1916"
412,1996-01-01,John Jacob Astor,en,"Hubbard, Elbert, 1856-1915"
413,1996-01-01,Ballads,en,"Stevenson, Robert Louis, 1850-1894"
414,1996-01-01,The Pageant of Summer,en,"Jefferies, Richard, 1848-1887"
415,1996-01-01,"The Bible in Spain
Or, the Journeys, Adventures, and Imprisonments of an Englishman, in an Attempt to Circulate the Scriptures in the Peninsula",en,"Borrow, George, 1803-1881"
416,1996-02-01,"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life",en,"Anderson, Sherwood, 1876-1941"
417,1996-02-01,"Dr. Martin Luther's Deutsche Geistliche Lieder
The Hymns of Martin Luther Set to Their Original Melodies, With an English Version",de; en,"Luther, Martin, 1483-1546; Allen, Nathan H. (Nathan Hale), 1848-1925 [Editor]; Bacon, Leonard Woolsey, 1830-1907 [Editor]"
418,1996-02-01,A Treatise on Good Works,en,"Luther, Martin, 1483-1546; Reu, Johann Michael, 1869-1943 [Translator]"
419,1996-02-01,The Magic of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919"
420,1996-02-01,Dorothy and the Wizard in Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919"
421,2006-01-16,Kidnapped,en,"Stevenson, Robert Louis, 1850-1894"
422,1996-02-01,The Romany Rye,en,"Borrow, George, 1803-1881"
423,1996-02-01,Round the Red Lamp: Being Facts and Fancies of Medical Life,en,"Doyle, Arthur Conan, 1859-1930"
424,1996-02-01,"General William Booth Enters into Heaven, and Other Poems",en,"Lindsay, Vachel, 1879-1931"
425,1996-02-01,Familiar Studies of Men and Books,en,"Stevenson, Robert Louis, 1850-1894"
426,1996-02-01,Tales and Fantasies,en,"Stevenson, Robert Louis, 1850-1894"
427,1996-02-01,The Great War Syndicate,en,"Stockton, Frank R., 1834-1902"
428,1996-02-01,Frivolous Cupid,en,"Hope, Anthony, 1863-1933"
429,1996-02-01,"The Magic Egg, and Other Stories",en,"Stockton, Frank R., 1834-1902"
430,2004-12-15,The Grain of Dust: A Novel,en,"Phillips, David Graham, 1867-1911; Wenzell, A. B. (Albert Beck), 1864-1917 [Illustrator]"
431,1996-02-01,The Fortune Hunter,en,"Phillips, David Graham, 1867-1911"
432,1996-02-01,The Ambassadors,en,"James, Henry, 1843-1916"
433,1996-02-01,The Conflict,en,"Phillips, David Graham, 1867-1911"
434,1996-02-01,The Circular Staircase,en,"Rinehart, Mary Roberts, 1876-1958"
435,1996-02-01,"Miracle Mongers and Their Methods
A Complete Exposé of the Modus Operandi of Fire Eaters, Heat Resisters, Poison Eaters, Venomous Reptile Defiers, Sword Swallowers, Human Ostriches, Strong Men, Etc.",en,"Houdini, Harry, 1874-1926"
436,1996-02-01,"The Master Key
An Electrical Fairy Tale Founded Upon the Mysteries of Electricity",en,"Baum, L. Frank (Lyman Frank), 1856-1919"
437,1996-02-01,The Life of Lazarillo of Tormes: His Fortunes and Misfortunes as Told by Himself,en,"Anonymous; Luna, Juan de, 1585?- [Contributor]; Rudder, Robert S. [Translator]"
438,1996-02-01,Underwoods,en,"Stevenson, Robert Louis, 1850-1894"
439,1996-02-01,The Vital Message,en,"Doyle, Arthur Conan, 1859-1930"
440,1996-02-01,Just David,en,"Porter, Eleanor H. (Eleanor Hodgman), 1868-1920"
441,1996-02-01,"New Poems, and Variant Readings",en,"Stevenson, Robert Louis, 1850-1894; Osbourne, Lloyd, 1868-1947 [Author of introduction, etc.]"
442,1996-02-01,Love Songs,en,"Teasdale, Sara, 1884-1933"
443,1996-02-01,The Love Affairs of a Bibliomaniac,en,"Field, Eugene, 1850-1895"
444,1996-02-01,"System of Economical Contradictions; Or, The Philosophy of Misery",en,"Proudhon, P.-J. (Pierre-Joseph), 1809-1865"
445,1996-02-01,The Crowd: A Study of the Popular Mind,en,"Le Bon, Gustave, 1841-1931"
446,1996-02-01,A Book of Remarkable Criminals,en,"Irving, H. B. (Henry Brodribb), 1870-1919"
447,1996-02-01,Maggie: A Girl of the Streets,en,"Crane, Stephen, 1871-1900"
448,1996-02-01,The Psychology of Revolution,en,"Le Bon, Gustave, 1841-1931"
449,1996-03-01,"Pathology of Lying, Accusation, and Swindling: A Study in Forensic Psychology",en,"Healy, Mary Tenney; Healy, William, 1869-1963"
450,1996-03-01,Susan Lenox: Her Fall and Rise,en,"Phillips, David Graham, 1867-1911"
451,2006-01-09,The Shadow Line: A Confession,en,"Conrad, Joseph, 1857-1924"
452,1996-03-01,"Lavengro: The Scholar, the Gypsy, the Priest",en,"Borrow, George, 1803-1881; Birrell, Augustine, 1850-1933 [Commentator]; Sullivan, Edmund J. (Edmund Joseph), 1869-1933 [Illustrator]"
453,1996-03-01,Emma McChesney and Co.,en,"Ferber, Edna, 1885-1968"
454,1996-03-01,The Breitmann Ballads,en,"Leland, Charles Godfrey, 1824-1903"
455,1996-03-01,The University of Hard Knocks,en,"Parlette, Ralph Albert, 1870-1930"
456,1996-03-01,"The Door in the Wall, and Other Stories",en,"Wells, H. G. (Herbert George), 1866-1946"
457,1996-03-01,The Price She Paid,en,"Phillips, David Graham, 1867-1911"
458,1996-03-01,Dreams and Dust,en,"Marquis, Don, 1878-1937"
459,2006-03-15,The White People,en,"Burnett, Frances Hodgson, 1849-1924"
460,1996-03-01,The Dawn of a To-morrow,en,"Burnett, Frances Hodgson, 1849-1924; Yohn, F. C. (Frederick Coffay), 1875-1933 [Illustrator]"
461,1996-03-01,The Quest of the Golden Girl: A Romance,en,"Le Gallienne, Richard, 1866-1947"
462,2006-03-15,"The Errand Boy; Or, How Phil Brent Won Success",en,"Alger, Horatio, Jr., 1832-1899"
463,1996-03-01,The Red Badge of Courage: An Episode of the American Civil War,en,"Crane, Stephen, 1871-1900"
464,1996-03-01,"In the South Seas
Being an Account of Experiences and Observations in the Marquesas, Paumotus and Gilbert Islands in the Course of Two Cruises on the Yacht ""Casco"" (1888) and the Schooner ""Equator"" (1889)",en,"Stevenson, Robert Louis, 1850-1894"
465,1996-03-01,The Mountains,en,"White, Stewart Edward, 1873-1946"
466,1996-03-01,The Gaming Table: Its Votaries and Victims. Volume 1 (of 2),en,"Steinmetz, Andrew, 1816-1877"
467,1996-03-01,The Princess of Cleves,en,"La Fayette, Madame de (Marie-Madeleine Pioche de La Vergne), 1634-1693"
468,1996-03-01,Manon Lescaut,en,"Prévost, abbé, 1697-1763"
469,2004-09-19,The Duchesse of Langeais,en,"Balzac, Honoré de, 1799-1850; Marriage, Ellen, 1865-1946 [Translator]"
470,1996-03-01,Heretics,en,"Chesterton, G. K. (Gilbert Keith), 1874-1936"
471,2006-01-16,The Bride of Lammermoor,en,"Scott, Walter, 1771-1832"
472,1996-03-01,The House Behind the Cedars,en,"Chesnutt, Charles W. (Charles Waddell), 1858-1932"
473,1996-03-01,Stories to Tell to Children,en,"Bryant, Sara Cone, 1873-"
474,2005-02-18,"How to Tell Stories to Children, and Some Stories to Tell",en,"Bryant, Sara Cone, 1873-"
475,1996-03-01,"In Darkest England, and the Way Out",en,"Booth, William, 1829-1912"
476,1996-03-01,"James Nasmyth, Engineer: An Autobiography",en,"Nasmyth, James, 1808-1890; Smiles, Samuel, 1812-1904 [Editor]"
477,1996-03-01,Criminal Sociology,en,"Ferri, Enrico, 1856-1929"
478,1996-03-01,The Cost,en,"Phillips, David Graham, 1867-1911"
479,2006-01-16,Little Lord Fauntleroy,en,"Burnett, Frances Hodgson, 1849-1924"
480,1996-03-01,"""Undo"": A Novel",en,"Hutsko, Joe, 1963-"
481,1996-04-01,In the Bishop's Carriage,en,"Michelson, Miriam, 1870-1942"
482,1996-04-01,The Woodlanders,en,"Hardy, Thomas, 1840-1928"
483,1996-04-01,The Conquest of Canaan,en,"Tarkington, Booth, 1869-1946"
484,1996-04-01,"Poor and Proud; Or, The Fortunes of Katy Redburn: A Story for Young Folks",en,"Optic, Oliver, 1822-1897"
485,1996-04-01,The Road to Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919"
486,1996-04-01,"Ozma of Oz
A Record of Her Adventures with Dorothy Gale of Kansas, the Yellow Hen, the Scarecrow, the Tin Woodman, Tiktok, the Cowardly Lion, and the Hungry Tiger; Besides Other Good People too Numerous to Mention Faithfully Recorded Herein",en,"Baum, L. Frank (Lyman Frank), 1856-1919"
487,1996-04-01,"Songs of Travel, and Other Verses",en,"Stevenson, Robert Louis, 1850-1894; Colvin, Sidney, 1845-1927 [Editor]"
488,1996-04-01,She Stands Accused,en,"MacClure, Victor, 1887-1963"
489,1996-04-01,One Basket,en,"Ferber, Edna, 1885-1968"
490,1996-04-01,Life and Adventures of Calamity Jane,en,"Calamity Jane, 1856-1903"
491,1996-04-01,Rezanov,en,"Atherton, Gertrude Franklin Horn, 1857-1948"
492,1996-04-01,Essays in the Art of Writing,en,"Stevenson, Robert Louis, 1850-1894"
493,2006-01-09,Falk: A Reminiscence,en,"Conrad, Joseph, 1857-1924"
494,2006-01-09,To-morrow,en,"Conrad, Joseph, 1857-1924"
495,2006-01-09,Amy Foster,en,"Conrad, Joseph, 1857-1924"
496,2006-01-16,The Little Lame Prince,en,"Craik, Dinah Maria Mulock, 1826-1887"
497,1996-04-01,Tracks of a Rolling Stone,en,"Coke, Henry J. (Henry John), 1827-1916"
498,1996-04-01,Rebecca of Sunnybrook Farm,en,"Wiggin, Kate Douglas Smith, 1856-1923"
499,1996-04-01,"Tom Swift in the Land of Wonders; Or, The Underground Search for the Idol of Gold",en,"Appleton, Victor"
500,2006-01-12,The Adventures of Pinocchio,en,"Collodi, Carlo, 1826-1890; Della Chiesa, Carol, 1887-1972 [Translator]"
501,1996-04-01,The Story of Doctor Dolittle,en,"Lofting, Hugh, 1886-1947; Walpole, Hugh, 1884-1941 [Author of introduction, etc.]"
502,1996-04-01,Desert Gold,en,"Grey, Zane, 1872-1939"
503,2005-10-21,The Blue Fairy Book,en,"Lang, Andrew, 1844-1912"
504,1996-04-01,The Fifth String,en,"Sousa, John Philip, 1854-1932"
505,1996-04-01,History of the Warfare of Science with Theology in Christendom,en,"White, Andrew Dickson, 1832-1918"
506,2006-03-18,The Shuttle,en,"Burnett, Frances Hodgson, 1849-1924"
507,2006-01-21,Adam Bede,en,"Eliot, George, 1819-1880"
508,1996-04-01,Twice-Told Tales,en,"Hawthorne, Nathaniel, 1804-1864"
509,2008-05-24,The Purcell Papers — Volume 1,en,"Le Fanu, Joseph Sheridan, 1814-1873"
510,2008-05-24,The Purcell Papers — Volume 2,en,"Le Fanu, Joseph Sheridan, 1814-1873"
511,2008-05-24,The Purcell Papers — Volume 3,en,"Le Fanu, Joseph Sheridan, 1814-1873"
512,1996-04-01,Mosses from an old manse,en,"Hawthorne, Nathaniel, 1804-1864"
513,1996-05-01,"The snow-image, and other twice-told tales",en,"Hawthorne, Nathaniel, 1804-1864"
514,1996-05-01,Little Women,en,"Alcott, Louisa May, 1832-1888"
515,1996-05-01,Margret Howth: A Story of To-day,en,"Davis, Rebecca Harding, 1831-1910"
516,1996-05-01,The Silverado Squatters,en,"Stevenson, Robert Louis, 1850-1894; Strong, J. D. (Joseph Dwight), 1853-1899 [Illustrator]"
517,1996-05-01,The Emerald City of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919"
518,1996-05-01,"The Enchanted Island of Yew
Whereon Prince Marvel Encountered the High Ki of Twi and Other Surprising People",en,"Baum, L. Frank (Lyman Frank), 1856-1919"
519,1996-05-01,A Kidnapped Santa Claus,en,"Baum, L. Frank (Lyman Frank), 1856-1919"
520,1996-05-01,The Life and Adventures of Santa Claus,en,"Baum, L. Frank (Lyman Frank), 1856-1919"
521,1996-05-01,The Life and Adventures of Robinson Crusoe,en,"Defoe, Daniel, 1661?-1731"
522,1996-05-01,The Chinese Boy and Girl,en,"Headland, Isaac Taylor, 1859-1942"
